Brand,Model_Name,Price,Front_Cam_MP,Display_cm,Processor,RAM_in_gb,ROM_in_gb,Battery_in_mAh,Expandable_Memory_in_gb,Rating
realme,realme C21 (Cross Black),8999.0,5.0,16.51,MediaTek Helio G35 Processor,4.0,64.0,5000.0,256.0,4.4
POCO,POCO M3 (Power Black),10499.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,64.0,6000.0,512.0,4.3
REDMI,REDMI 9i (Midnight Black),7999.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,64.0,5000.0,512.0,4.3
realme,realme C20 (Cool Grey),6799.0,5.0,16.51,MediaTek Helio G35 Processor,2.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Morandi Green),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
realme,realme Narzo 30A (Laser Black),7999.0,8.0,16.54,MediaTek Helio G85 Processor,3.0,32.0,6000.0,256.0,4.4
realme,realme Narzo 30A (Laser Blue),7999.0,8.0,16.54,MediaTek Helio G85 Processor,3.0,32.0,6000.0,256.0,4.4
realme,realme Narzo 30A (Laser Black),8999.0,8.0,16.54,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme Narzo 20 (Glory Silver),9999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.3
REDMI,REDMI 9 Power (Electric Green),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
POCO,POCO M3 (Cool Blue),10499.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,64.0,6000.0,512.0,4.3
Infinix,,8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Aegean Blue),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Obsidian Black),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,,6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Obsidian Black),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Morandi Green),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Aegean Blue),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
realme,realme C12 (Power Blue),7999.0,5.0,16.56,Mediatek Helio G35 Processor,3.0,32.0,6000.0,256.0,4.4
REDMI,REDMI 9i (Nature Green),7999.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,64.0,5000.0,512.0,4.3
REDMI,REDMI Note 9 (Pebble Grey),10999.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
SAMSUNG,SAMSUNG Galaxy F12 (Sky Blue),9999.0,8.0,16.55,Exynos 850 Processor,4.0,64.0,6000.0,512.0,4.2
GIONEE,GIONEE Max (Red),5499.0,5.0,15.49,Octa Core Processor,2.0,32.0,5000.0,256.0,4.1
OPPO,OPPO A12 (Black),7490.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Flowing Silver),8490.0,5.0,15.8,MediaTek Helio P35 Processor,4.0,64.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Deep Blue),9999.0,5.0,15.8,MediaTek Helio P35 Processor,4.0,64.0,4230.0,256.0,4.4
SAMSUNG,SAMSUNG Galaxy F41 (Fusion Blue),14499.0,32.0,16.26,Exynos 9611 Processor,6.0,128.0,6000.0,512.0,4.3
OPPO,OPPO A12 (Deep Blue),8999.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Flowing Silver),9499.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
GIONEE,GIONEE Max (Black),5499.0,5.0,15.49,Octa Core Processor,2.0,32.0,5000.0,256.0,4.1
realme,realme Narzo 20 (Glory Silver),9999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.3
POCO,POCO M2 Reloaded (Mostly Blue),9499.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5000.0,512.0,4.4
realme,realme 8 5G (Supersonic Blue),13999.0,16.0,16.51,,4.0,64.0,5000.0,1000.0,4.3
realme,realme C25 (Watery Blue),9999.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,64.0,6000.0,256.0,4.4
POCO,POCO M3 (Cool Blue),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,128.0,6000.0,512.0,4.3
REDMI,REDMI Note 9 (Arctic White),12884.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
REDMI,REDMI 9 Power (Mighty Black),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
MOTOROLA,MOTOROLA E7 Power (Tahiti Blue),7999.0,5.0,16.54,MediaTek Helio G25 Processor,4.0,64.0,5000.0,1000.0,4.1
realme,realme C25 (Watery Blue),10499.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,128.0,6000.0,256.0,4.4
realme,realme C25 (Watery Grey),10499.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,128.0,6000.0,256.0,4.4
MOTOROLA,MOTOROLA G10 Power (Breeze Blue),9499.0,8.0,16.54,Snapdragon 460 Processor,4.0,64.0,6000.0,0.0,4.1
OPPO,OPPO A33 (Moonlight Black),8990.0,8.0,16.51,Qualcomm Snapdragon 460 Processor,3.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Smart HD 2021 (Obsidian Black),6499.0,5.0,15.49,MediaTek Helio A20 Processor,2.0,32.0,5000.0,256.0,4.4
Infinix,Infinix Smart HD 2021 (Topaz Blue),6499.0,5.0,15.49,MediaTek Helio A20 Processor,2.0,32.0,5000.0,256.0,4.4
